nik,nama,usia,jenis_kelamin,alamat,kota,pekerjaan,status_perkawinan
320189000034,Penduduk_34,62,Laki-laki,Jl. Contoh No.34,Surabaya,Pengangguran,Kawin
320139000035,Penduduk_35,62,Laki-laki,Jl. Contoh No.35,Bandung,PNS,Cerai Mati
320131000036,Penduduk_36,47,Perempuan,Jl. Contoh No.36,Yogyakarta,Pengangguran,Kawin
320108000037,Penduduk_37,62,Laki-laki,Jl. Contoh No.37,Yogyakarta,Pelajar,Cerai Mati
320161000038,Penduduk_38,51,Laki-laki,Jl. Contoh No.38,Surabaya,Guru,Belum Kawin
320155000039,Penduduk_39,55,Laki-laki,Jl. Contoh No.39,Yogyakarta,Pelajar,Cerai Hidup
320175000040,Penduduk_40,64,Laki-laki,Jl. Contoh No.40,Medan,Pengangguran,Cerai Hidup
320104000041,Penduduk_41,3,Perempuan,Jl. Contoh No.41,Makassar,Pengangguran,Cerai Hidup
320123000042,Penduduk_42,51,Perempuan,Jl. Contoh No.42,Denpasar,Petani,Cerai Hidup
320121000043,Penduduk_43,7,Perempuan,Jl. Contoh No.43,Surabaya,Dokter,Cerai Mati
320138000044,Penduduk_44,21,Laki-laki,Jl. Contoh No.44,Makassar,PNS,Cerai Mati
320168000045,Penduduk_45,73,Laki-laki,Jl. Contoh No.45,Makassar,Wiraswasta,Kawin
320144000046,Penduduk_46,39,Perempuan,Jl. Contoh No.46,Jakarta,Pengangguran,Cerai Mati
320122000047,Penduduk_47,18,Laki-laki,Jl. Contoh No.47,Surabaya,PNS,Kawin
320133000048,Penduduk_48,4,Laki-laki,Jl. Contoh No.48,Yogyakarta,Petani,Kawin
320104000049,Penduduk_49,89,Laki-laki,Jl. Contoh No.49,Denpasar,Pelajar,Cerai Hidup
320108000050,Penduduk_50,60,Laki-laki,Jl. Contoh No.50,Surabaya,Petani,Cerai Mati
320137000051,Penduduk_51,14,Perempuan,Jl. Contoh No.51,Yogyakarta,Mahasiswa,Cerai Mati
320177000052,Penduduk_52,9,Perempuan,Jl. Contoh No.52,Makassar,Mahasiswa,Kawin
320129000053,Penduduk_53,53,Perempuan,Jl. Contoh No.53,Denpasar,Wiraswasta,Kawin
320131000054,Penduduk_54,2,Laki-laki,Jl. Contoh No.54,Yogyakarta,Petani,Belum Kawin
320115000055,Penduduk_55,84,Perempuan,Jl. Contoh No.55,Medan,Guru,Belum Kawin
320188000056,Penduduk_56,60,Perempuan,Jl. Contoh No.56,Yogyakarta,Wiraswasta,Kawin
320118000057,Penduduk_57,71,Laki-laki,Jl. Contoh No.57,Jakarta,Guru,Belum Kawin
320157000058,Penduduk_58,44,Laki-laki,Jl. Contoh No.58,Makassar,Wiraswasta,Belum Kawin
320139000059,Penduduk_59,8,Perempuan,Jl. Contoh No.59,Yogyakarta,Mahasiswa,Kawin
320173000060,Penduduk_60,47,Perempuan,Jl. Contoh No.60,Bandung,Wiraswasta,Kawin
320169000061,Penduduk_61,35,Perempuan,Jl. Contoh No.61,Bandung,Mahasiswa,Cerai Mati
320142000062,Penduduk_62,78,Perempuan,Jl. Contoh No.62,Jakarta,Pengangguran,Kawin
320189000063,Penduduk_63,81,Laki-laki,Jl. Contoh No.63,Medan,Pelajar,Kawin
320148000064,Penduduk_64,36,Perempuan,Jl. Contoh No.64,Makassar,Guru,Cerai Hidup
320144000065,Penduduk_65,50,Perempuan,Jl. Contoh No.65,Surabaya,Petani,Cerai Mati
320132000066,Penduduk_66,4,Laki-laki,Jl. Contoh No.66,Jakarta,Pengangguran,Cerai Mati
320102000067,Penduduk_67,2,Perempuan,Jl. Contoh No.67,Medan,Pengangguran,Cerai Mati
320129000068,Penduduk_68,6,Laki-laki,Jl. Contoh No.68,Surabaya,Wiraswasta,Cerai Hidup
320148000069,Penduduk_69,54,Laki-laki,Jl. Contoh No.69,Bandung,Mahasiswa,Kawin
320140000070,Penduduk_70,4,Laki-laki,Jl. Contoh No.70,Bandung,PNS,Cerai Mati
320130000071,Penduduk_71,54,Perempuan,Jl. Contoh No.71,Surabaya,Guru,Cerai Mati
320136000072,Penduduk_72,63,Perempuan,Jl. Contoh No.72,Jakarta,Pengangguran,Belum Kawin
320102000073,Penduduk_73,18,Laki-laki,Jl. Contoh No.73,Bandung,Wiraswasta,Cerai Mati
320186000074,Penduduk_74,44,Perempuan,Jl. Contoh No.74,Makassar,Dokter,Kawin
320125000075,Penduduk_75,34,Perempuan,Jl. Contoh No.75,Denpasar,Pelajar,Kawin
320111000076,Penduduk_76,74,Laki-laki,Jl. Contoh No.76,Yogyakarta,Pelajar,Belum Kawin
320161000077,Penduduk_77,62,Laki-laki,Jl. Contoh No.77,Surabaya,PNS,Cerai Mati
320109000078,Penduduk_78,14,Perempuan,Jl. Contoh No.78,Surabaya,Mahasiswa,Cerai Mati
320187000079,Penduduk_79,48,Laki-laki,Jl. Contoh No.79,Bandung,Wiraswasta,Cerai Mati
320137000080,Penduduk_80,15,Perempuan,Jl. Contoh No.80,Jakarta,Guru,Cerai Hidup
320125000081,Penduduk_81,72,Perempuan,Jl. Contoh No.81,Makassar,Mahasiswa,Cerai Mati
320167000082,Penduduk_82,78,Perempuan,Jl. Contoh No.82,Jakarta,Pelajar,Kawin
320156000083,Penduduk_83,87,Perempuan,Jl. Contoh No.83,Medan,Mahasiswa,Kawin
320116000084,Penduduk_84,62,Laki-laki,Jl. Contoh No.84,Medan,Pelajar,Cerai Hidup
320138000085,Penduduk_85,40,Laki-laki,Jl. Contoh No.85,Denpasar,Mahasiswa,Cerai Hidup
320154000086,Penduduk_86,85,Laki-laki,Jl. Contoh No.86,Bandung,PNS,Cerai Mati
320154000087,Penduduk_87,80,Laki-laki,Jl. Contoh No.87,Bandung,Petani,Belum Kawin
320155000088,Penduduk_88,82,Perempuan,Jl. Contoh No.88,Bandung,PNS,Cerai Hidup
320190000089,Penduduk_89,53,Perempuan,Jl. Contoh No.89,Denpasar,PNS,Cerai Hidup
320104000090,Penduduk_90,24,Laki-laki,Jl. Contoh No.90,Medan,Petani,Cerai Mati
320121000091,Penduduk_91,26,Perempuan,Jl. Contoh No.91,Jakarta,Petani,Cerai Mati
320160000092,Penduduk_92,89,Perempuan,Jl. Contoh No.92,Denpasar,Pengangguran,Cerai Hidup
320178000093,Penduduk_93,60,Perempuan,Jl. Contoh No.93,Denpasar,Pengangguran,Belum Kawin
320158000094,Penduduk_94,41,Laki-laki,Jl. Contoh No.94,Jakarta,Wiraswasta,Cerai Hidup
320155000095,Penduduk_95,29,Laki-laki,Jl. Contoh No.95,Bandung,Guru,Cerai Mati
320184000096,Penduduk_96,15,Laki-laki,Jl. Contoh No.96,Makassar,Guru,Cerai Mati
320118000097,Penduduk_97,45,Perempuan,Jl. Contoh No.97,Jakarta,Wiraswasta,Cerai Hidup
320190000098,Penduduk_98,65,Laki-laki,Jl. Contoh No.98,Medan,PNS,Belum Kawin
320145000099,Penduduk_99,89,Laki-laki,Jl. Contoh No.99,Surabaya,PNS,Cerai Hidup
320123000100,Penduduk_100,71,Laki-laki,Jl. Contoh No.100,Surabaya,Pelajar,Cerai Hidup
320132000101,Penduduk_101,9,Laki-laki,Jl. Contoh No.101,Yogyakarta,Pelajar,Cerai Mati
320106000102,Penduduk_102,88,Laki-laki,Jl. Contoh No.102,Yogyakarta,Guru,Belum Kawin
320147000103,Penduduk_103,1,Laki-laki,Jl. Contoh No.103,Denpasar,Wiraswasta,Kawin
320178000104,Penduduk_104,8,Perempuan,Jl. Contoh No.104,Surabaya,Dokter,Belum Kawin
320174000105,Penduduk_105,88,Perempuan,Jl. Contoh No.105,Makassar,Pengangguran,Cerai Hidup
320198000106,Penduduk_106,63,Laki-laki,Jl. Contoh No.106,Bandung,Dokter,Cerai Hidup
320105000107,Penduduk_107,11,Laki-laki,Jl. Contoh No.107,Medan,Wiraswasta,Cerai Hidup
320132000108,Penduduk_108,81,Perempuan,Jl. Contoh No.108,Yogyakarta,Pelajar,Belum Kawin
320113000109,Penduduk_109,8,Perempuan,Jl. Contoh No.109,Makassar,Guru,Cerai Mati
320105000110,Penduduk_110,35,Laki-laki,Jl. Contoh No.110,Medan,Guru,Cerai Hidup
320137000111,Penduduk_111,35,Laki-laki,Jl. Contoh No.111,Medan,Pelajar,Cerai Hidup
320135000112,Penduduk_112,33,Laki-laki,Jl. Contoh No.112,Bandung,Dokter,Belum Kawin
320159000113,Penduduk_113,5,Laki-laki,Jl. Contoh No.113,Denpasar,Mahasiswa,Kawin
320180000114,Penduduk_114,41,Perempuan,Jl. Contoh No.114,Surabaya,Mahasiswa,Kawin
320180000115,Penduduk_115,28,Laki-laki,Jl. Contoh No.115,Bandung,Pelajar,Cerai Mati
320193000116,Penduduk_116,7,Laki-laki,Jl. Contoh No.116,Makassar,Mahasiswa,Cerai Mati
320153000117,Penduduk_117,73,Laki-laki,Jl. Contoh No.117,Denpasar,Petani,Cerai Hidup
320108000118,Penduduk_118,72,Laki-laki,Jl. Contoh No.118,Makassar,Wiraswasta,Belum Kawin
320121000119,Penduduk_119,12,Perempuan,Jl. Contoh No.119,Denpasar,Wiraswasta,Cerai Hidup
320173000120,Penduduk_120,34,Perempuan,Jl. Contoh No.120,Yogyakarta,Pelajar,Cerai Mati
320168000121,Penduduk_121,33,Perempuan,Jl. Contoh No.121,Makassar,PNS,Belum Kawin
320119000122,Penduduk_122,48,Laki-laki,Jl. Contoh No.122,Bandung,Pengangguran,Belum Kawin
320143000123,Penduduk_123,23,Laki-laki,Jl. Contoh No.123,Denpasar,Dokter,Cerai Mati
320147000124,Penduduk_124,62,Perempuan,Jl. Contoh No.124,Denpasar,Pelajar,Kawin
320187000125,Penduduk_125,88,Laki-laki,Jl. Contoh No.125,Medan,Mahasiswa,Kawin
320151000126,Penduduk_126,37,Laki-laki,Jl. Contoh No.126,Medan,Dokter,Belum Kawin
320178000127,Penduduk_127,44,Perempuan,Jl. Contoh No.127,Jakarta,PNS,Cerai Hidup
320175000128,Penduduk_128,86,Perempuan,Jl. Contoh No.128,Makassar,Mahasiswa,Kawin
320195000129,Penduduk_129,35,Perempuan,Jl. Contoh No.129,Medan,Guru,Cerai Hidup
320170000130,Penduduk_130,65,Perempuan,Jl. Contoh No.130,Jakarta,Pengangguran,Kawin
320108000131,Penduduk_131,47,Laki-laki,Jl. Contoh No.131,Yogyakarta,Petani,Kawin
320139000132,Penduduk_132,78,Laki-laki,Jl. Contoh No.132,Yogyakarta,Mahasiswa,Cerai Hidup
320122000133,Penduduk_133,3,Perempuan,Jl. Contoh No.133,Medan,Petani,Cerai Mati
320179000134,Penduduk_134,1,Laki-laki,Jl. Contoh No.134,Makassar,Dokter,Kawin
320169000135,Penduduk_135,5,Perempuan,Jl. Contoh No.135,Denpasar,Petani,Kawin
320192000136,Penduduk_136,14,Perempuan,Jl. Contoh No.136,Surabaya,Dokter,Cerai Hidup
320178000137,Penduduk_137,27,Laki-laki,Jl. Contoh No.137,Makassar,Dokter,Cerai Mati
320187000138,Penduduk_138,9,Perempuan,Jl. Contoh No.138,Bandung,Dokter,Kawin
320191000139,Penduduk_139,79,Laki-laki,Jl. Contoh No.139,Yogyakarta,Dokter,Kawin
320194000140,Penduduk_140,15,Laki-laki,Jl. Contoh No.140,Medan,Dokter,Cerai Mati
320105000141,Penduduk_141,42,Laki-laki,Jl. Contoh No.141,Medan,Mahasiswa,Kawin
320144000142,Penduduk_142,77,Laki-laki,Jl. Contoh No.142,Denpasar,Dokter,Cerai Mati
320106000143,Penduduk_143,51,Perempuan,Jl. Contoh No.143,Bandung,Mahasiswa,Cerai Mati
320198000144,Penduduk_144,63,Laki-laki,Jl. Contoh No.144,Denpasar,Dokter,Cerai Hidup
320131000145,Penduduk_145,52,Perempuan,Jl. Contoh No.145,Bandung,Petani,Belum Kawin
320174000146,Penduduk_146,4,Perempuan,Jl. Contoh No.146,Surabaya,Guru,Cerai Mati
320171000147,Penduduk_147,23,Perempuan,Jl. Contoh No.147,Yogyakarta,Dokter,Cerai Hidup
320126000148,Penduduk_148,15,Perempuan,Jl. Contoh No.148,Medan,PNS,Belum Kawin
320148000149,Penduduk_149,43,Laki-laki,Jl. Contoh No.149,Medan,Dokter,Kawin
320186000150,Penduduk_150,29,Laki-laki,Jl. Contoh No.150,Surabaya,Dokter,Belum Kawin
320117000151,Penduduk_151,36,Perempuan,Jl. Contoh No.151,Jakarta,Petani,Cerai Mati
320134000152,Penduduk_152,13,Perempuan,Jl. Contoh No.152,Yogyakarta,Pengangguran,Cerai Mati
320184000153,Penduduk_153,32,Laki-laki,Jl. Contoh No.153,Denpasar,Wiraswasta,Cerai Mati
320110000154,Penduduk_154,71,Perempuan,Jl. Contoh No.154,Surabaya,Petani,Cerai Mati
320171000155,Penduduk_155,59,Laki-laki,Jl. Contoh No.155,Denpasar,PNS,Cerai Mati
320177000156,Penduduk_156,86,Perempuan,Jl. Contoh No.156,Makassar,Wiraswasta,Cerai Hidup
320135000157,Penduduk_157,28,Laki-laki,Jl. Contoh No.157,Medan,Pelajar,Cerai Mati
320150000158,Penduduk_158,66,Perempuan,Jl. Contoh No.158,Denpasar,Pelajar,Cerai Hidup
320109000159,Penduduk_159,42,Perempuan,Jl. Contoh No.159,Bandung,Pengangguran,Kawin
320190000160,Penduduk_160,45,Laki-laki,Jl. Contoh No.160,Denpasar,PNS,Cerai Mati
320176000161,Penduduk_161,62,Perempuan,Jl. Contoh No.161,Makassar,Petani,Cerai Mati
320111000162,Penduduk_162,57,Perempuan,Jl. Contoh No.162,Yogyakarta,Mahasiswa,Belum Kawin
320159000163,Penduduk_163,6,Laki-laki,Jl. Contoh No.163,Medan,PNS,Kawin
320170000164,Penduduk_164,28,Perempuan,Jl. Contoh No.164,Surabaya,Guru,Cerai Mati
320148000165,Penduduk_165,28,Laki-laki,Jl. Contoh No.165,Makassar,Wiraswasta,Cerai Mati
320135000166,Penduduk_166,44,Laki-laki,Jl. Contoh No.166,Medan,Wiraswasta,Kawin
320161000167,Penduduk_167,84,Perempuan,Jl. Contoh No.167,Denpasar,Dokter,Cerai Hidup
320134000168,Penduduk_168,30,Perempuan,Jl. Contoh No.168,Yogyakarta,Pelajar,Cerai Mati
320161000169,Penduduk_169,62,Perempuan,Jl. Contoh No.169,Jakarta,Pengangguran,Belum Kawin
320159000170,Penduduk_170,75,Perempuan,Jl. Contoh No.170,Yogyakarta,Wiraswasta,Cerai Mati
320139000171,Penduduk_171,89,Perempuan,Jl. Contoh No.171,Jakarta,PNS,Belum Kawin
320128000172,Penduduk_172,62,Perempuan,Jl. Contoh No.172,Bandung,Wiraswasta,Belum Kawin
320105000173,Penduduk_173,1,Perempuan,Jl. Contoh No.173,Yogyakarta,Pengangguran,Cerai Mati
320198000174,Penduduk_174,27,Laki-laki,Jl. Contoh No.174,Medan,Pengangguran,Cerai Mati
320193000175,Penduduk_175,62,Perempuan,Jl. Contoh No.175,Jakarta,Pengangguran,Belum Kawin
320127000176,Penduduk_176,77,Laki-laki,Jl. Contoh No.176,Surabaya,PNS,Kawin
320178000177,Penduduk_177,3,Perempuan,Jl. Contoh No.177,Medan,Mahasiswa,Kawin
320159000178,Penduduk_178,70,Perempuan,Jl. Contoh No.178,Surabaya,Dokter,Cerai Mati
320153000179,Penduduk_179,72,Laki-laki,Jl. Contoh No.179,Yogyakarta,Pelajar,Cerai Hidup
320197000180,Penduduk_180,27,Perempuan,Jl. Contoh No.180,Surabaya,Wiraswasta,Kawin
320153000181,Penduduk_181,9,Perempuan,Jl. Contoh No.181,Jakarta,PNS,Cerai Mati
320111000182,Penduduk_182,62,Laki-laki,Jl. Contoh No.182,Medan,Petani,Kawin
320167000183,Penduduk_183,37,Perempuan,Jl. Contoh No.183,Denpasar,Pelajar,Cerai Hidup
320154000184,Penduduk_184,51,Perempuan,Jl. Contoh No.184,Makassar,Mahasiswa,Cerai Mati
320198000185,Penduduk_185,44,Perempuan,Jl. Contoh No.185,Jakarta,PNS,Cerai Hidup
320139000186,Penduduk_186,24,Laki-laki,Jl. Contoh No.186,Jakarta,Guru,Cerai Mati
320145000187,Penduduk_187,79,Perempuan,Jl. Contoh No.187,Denpasar,Guru,Cerai Hidup
320185000188,Penduduk_188,59,Perempuan,Jl. Contoh No.188,Medan,Dokter,Kawin
320160000189,Penduduk_189,32,Perempuan,Jl. Contoh No.189,Medan,Dokter,Kawin
320121000190,Penduduk_190,88,Perempuan,Jl. Contoh No.190,Yogyakarta,Mahasiswa,Cerai Hidup
320123000191,Penduduk_191,52,Laki-laki,Jl. Contoh No.191,Surabaya,Mahasiswa,Cerai Hidup
320159000192,Penduduk_192,62,Laki-laki,Jl. Contoh No.192,Yogyakarta,Dokter,Cerai Hidup
320145000193,Penduduk_193,58,Perempuan,Jl. Contoh No.193,Denpasar,Wiraswasta,Cerai Mati
320118000194,Penduduk_194,52,Perempuan,Jl. Contoh No.194,Yogyakarta,Wiraswasta,Kawin
320103000195,Penduduk_195,12,Laki-laki,Jl. Contoh No.195,Denpasar,PNS,Cerai Mati
320184000196,Penduduk_196,39,Laki-laki,Jl. Contoh No.196,Medan,Petani,Kawin
320107000197,Penduduk_197,2,Perempuan,Jl. Contoh No.197,Surabaya,PNS,Belum Kawin
320114000198,Penduduk_198,3,Laki-laki,Jl. Contoh No.198,Yogyakarta,Petani,Cerai Mati
320177000199,Penduduk_199,56,Perempuan,Jl. Contoh No.199,Jakarta,Mahasiswa,Kawin
320167000200,Penduduk_200,81,Laki-laki,Jl. Contoh No.200,Bandung,Pelajar,Kawin
320184000201,Penduduk_201,59,Laki-laki,Jl. Contoh No.201,Makassar,PNS,Cerai Mati
320122000202,Penduduk_202,2,Laki-laki,Jl. Contoh No.202,Jakarta,PNS,Cerai Mati
320121000203,Penduduk_203,2,Laki-laki,Jl. Contoh No.203,Medan,Petani,Kawin
320101000204,Penduduk_204,54,Perempuan,Jl. Contoh No.204,Makassar,Pengangguran,Cerai Mati
320177000205,Penduduk_205,87,Laki-laki,Jl. Contoh No.205,Bandung,Mahasiswa,Cerai Hidup
320126000206,Penduduk_206,1,Laki-laki,Jl. Contoh No.206,Bandung,Mahasiswa,Cerai Mati
320167000207,Penduduk_207,19,Perempuan,Jl. Contoh No.207,Surabaya,Guru,Cerai Mati
320109000208,Penduduk_208,2,Laki-laki,Jl. Contoh No.208,Makassar,Pengangguran,Cerai Mati
320188000209,Penduduk_209,53,Laki-laki,Jl. Contoh No.209,Surabaya,Petani,Kawin
320145000210,Penduduk_210,44,Perempuan,Jl. Contoh No.210,Jakarta,Mahasiswa,Cerai Hidup
320145000211,Penduduk_211,32,Laki-laki,Jl. Contoh No.211,Denpasar,Pengangguran,Belum Kawin
320132000212,Penduduk_212,70,Perempuan,Jl. Contoh No.212,Denpasar,Dokter,Belum Kawin
320120000213,Penduduk_213,32,Perempuan,Jl. Contoh No.213,Denpasar,Pengangguran,Cerai Hidup
320111000214,Penduduk_214,68,Perempuan,Jl. Contoh No.214,Makassar,Wiraswasta,Cerai Hidup
320118000215,Penduduk_215,55,Perempuan,Jl. Contoh No.215,Denpasar,Guru,Cerai Hidup
320183000216,Penduduk_216,75,Laki-laki,Jl. Contoh No.216,Jakarta,Dokter,Kawin
320181000217,Penduduk_217,56,Perempuan,Jl. Contoh No.217,Surabaya,Pelajar,Belum Kawin
320180000218,Penduduk_218,17,Laki-laki,Jl. Contoh No.218,Makassar,PNS,Cerai Hidup
320108000219,Penduduk_219,38,Laki-laki,Jl. Contoh No.219,Surabaya,Guru,Kawin
320138000220,Penduduk_220,24,Laki-laki,Jl. Contoh No.220,Makassar,Pelajar,Belum Kawin
320184000221,Penduduk_221,69,Laki-laki,Jl. Contoh No.221,Surabaya,PNS,Cerai Mati
320124000222,Penduduk_222,70,Laki-laki,Jl. Contoh No.222,Bandung,Wiraswasta,Kawin
320172000223,Penduduk_223,86,Laki-laki,Jl. Contoh No.223,Surabaya,Pengangguran,Belum Kawin
320139000224,Penduduk_224,11,Laki-laki,Jl. Contoh No.224,Denpasar,Mahasiswa,Kawin
320136000225,Penduduk_225,16,Laki-laki,Jl. Contoh No.225,Bandung,Dokter,Belum Kawin
320185000226,Penduduk_226,73,Laki-laki,Jl. Contoh No.226,Surabaya,Petani,Belum Kawin
320133000227,Penduduk_227,59,Laki-laki,Jl. Contoh No.227,Makassar,Dokter,Cerai Mati
320175000228,Penduduk_228,70,Perempuan,Jl. Contoh No.228,Makassar,Wiraswasta,Kawin
320140000229,Penduduk_229,80,Perempuan,Jl. Contoh No.229,Makassar,Pelajar,Cerai Hidup
320128000230,Penduduk_230,3,Perempuan,Jl. Contoh No.230,Medan,Petani,Cerai Mati
320101000231,Penduduk_231,20,Laki-laki,Jl. Contoh No.231,Jakarta,Mahasiswa,Cerai Mati
320101000232,Penduduk_232,59,Perempuan,Jl. Contoh No.232,Makassar,Wiraswasta,Belum Kawin
320193000233,Penduduk_233,36,Perempuan,Jl. Contoh No.233,Bandung,Petani,Cerai Hidup
320158000234,Penduduk_234,19,Perempuan,Jl. Contoh No.234,Makassar,Wiraswasta,Kawin
320113000235,Penduduk_235,67,Laki-laki,Jl. Contoh No.235,Medan,Pengangguran,Cerai Hidup
320128000236,Penduduk_236,19,Laki-laki,Jl. Contoh No.236,Denpasar,Wiraswasta,Cerai Hidup
320138000237,Penduduk_237,20,Laki-laki,Jl. Contoh No.237,Bandung,Mahasiswa,Cerai Hidup
320149000238,Penduduk_238,71,Laki-laki,Jl. Contoh No.238,Medan,Guru,Cerai Hidup
320178000239,Penduduk_239,52,Perempuan,Jl. Contoh No.239,Denpasar,PNS,Cerai Hidup
320135000240,Penduduk_240,33,Perempuan,Jl. Contoh No.240,Yogyakarta,Petani,Belum Kawin
320188000241,Penduduk_241,40,Perempuan,Jl. Contoh No.241,Yogyakarta,Pengangguran,Belum Kawin
320137000242,Penduduk_242,39,Perempuan,Jl. Contoh No.242,Bandung,Mahasiswa,Cerai Mati
320173000243,Penduduk_243,82,Laki-laki,Jl. Contoh No.243,Surabaya,Wiraswasta,Belum Kawin
320143000244,Penduduk_244,1,Laki-laki,Jl. Contoh No.244,Jakarta,Pengangguran,Cerai Mati
320109000245,Penduduk_245,11,Laki-laki,Jl. Contoh No.245,Jakarta,Mahasiswa,Cerai Mati
320158000246,Penduduk_246,57,Perempuan,Jl. Contoh No.246,Medan,Guru,Kawin
320132000247,Penduduk_247,89,Laki-laki,Jl. Contoh No.247,Denpasar,Pengangguran,Cerai Hidup
320167000248,Penduduk_248,50,Laki-laki,Jl. Contoh No.248,Jakarta,Pengangguran,Belum Kawin
320191000249,Penduduk_249,23,Perempuan,Jl. Contoh No.249,Denpasar,PNS,Kawin
320104000250,Penduduk_250,31,Perempuan,Jl. Contoh No.250,Denpasar,Dokter,Belum Kawin
320117000251,Penduduk_251,42,Laki-laki,Jl. Contoh No.251,Medan,Petani,Cerai Mati
320180000252,Penduduk_252,7,Laki-laki,Jl. Contoh No.252,Medan,PNS,Belum Kawin
320157000253,Penduduk_253,16,Laki-laki,Jl. Contoh No.253,Medan,Pelajar,Cerai Hidup
320158000254,Penduduk_254,60,Laki-laki,Jl. Contoh No.254,Jakarta,Petani,Cerai Mati
320174000255,Penduduk_255,2,Laki-laki,Jl. Contoh No.255,Yogyakarta,PNS,Cerai Mati
320122000256,Penduduk_256,1,Laki-laki,Jl. Contoh No.256,Medan,Wiraswasta,Kawin
320108000257,Penduduk_257,48,Perempuan,Jl. Contoh No.257,Jakarta,Petani,Cerai Hidup
320152000258,Penduduk_258,12,Perempuan,Jl. Contoh No.258,Medan,Petani,Cerai Mati
320158000259,Penduduk_259,69,Perempuan,Jl. Contoh No.259,Makassar,Mahasiswa,Cerai Hidup
320137000260,Penduduk_260,37,Laki-laki,Jl. Contoh No.260,Denpasar,Wiraswasta,Belum Kawin
320184000261,Penduduk_261,32,Perempuan,Jl. Contoh No.261,Medan,Pelajar,Cerai Hidup
320183000262,Penduduk_262,9,Laki-laki,Jl. Contoh No.262,Bandung,Dokter,Cerai Mati
320195000263,Penduduk_263,19,Laki-laki,Jl. Contoh No.263,Denpasar,Pengangguran,Kawin
320149000264,Penduduk_264,48,Perempuan,Jl. Contoh No.264,Denpasar,Guru,Cerai Mati
